,time,status,count
0,1900-01-01 00:00:00,reversed,7
1,1900-01-01 00:00:00,approved,9
2,1900-01-01 00:00:00,processing,12
3,1900-01-01 00:00:00,denied,3
4,1900-01-01 00:00:00,backend_reversed,2
5,1900-01-01 00:01:00,approved,16
6,1900-01-01 00:01:00,backend_reversed,1
7,1900-01-01 00:01:00,reversed,2
8,1900-01-01 00:01:00,processing,2
9,1900-01-01 00:01:00,denied,12
10,1900-01-01 00:02:00,reversed,5
11,1900-01-01 00:02:00,backend_reversed,3
12,1900-01-01 00:02:00,processing,5
13,1900-01-01 00:02:00,approved,5
14,1900-01-01 00:02:00,denied,4
15,1900-01-01 00:03:00,denied,2
16,1900-01-01 00:03:00,backend_reversed,2
17,1900-01-01 00:03:00,approved,6
18,1900-01-01 00:03:00,processing,4
19,1900-01-01 00:03:00,reversed,9
20,1900-01-01 00:04:00,processing,2
21,1900-01-01 00:04:00,reversed,10
22,1900-01-01 00:04:00,backend_reversed,3
23,1900-01-01 00:04:00,approved,12
24,1900-01-01 00:04:00,denied,4
25,1900-01-01 00:05:00,approved,27
26,1900-01-01 00:05:00,reversed,4
27,1900-01-01 00:05:00,denied,6
28,1900-01-01 00:06:00,approved,22
29,1900-01-01 00:06:00,reversed,1
30,1900-01-01 00:06:00,denied,4
31,1900-01-01 00:07:00,processing,1
32,1900-01-01 00:07:00,backend_reversed,2
33,1900-01-01 00:07:00,denied,2
34,1900-01-01 00:07:00,approved,11
35,1900-01-01 00:07:00,reversed,3
36,1900-01-01 00:08:00,processing,6
37,1900-01-01 00:08:00,reversed,2
38,1900-01-01 00:08:00,backend_reversed,3
39,1900-01-01 00:08:00,approved,5
40,1900-01-01 00:09:00,approved,3
41,1900-01-01 00:09:00,reversed,9
42,1900-01-01 00:09:00,denied,1
43,1900-01-01 00:09:00,backend_reversed,5
44,1900-01-01 00:09:00,processing,5
45,1900-01-01 00:10:00,denied,1
46,1900-01-01 00:10:00,processing,5
47,1900-01-01 00:10:00,reversed,1
48,1900-01-01 00:10:00,backend_reversed,10
49,1900-01-01 00:11:00,backend_reversed,4
50,1900-01-01 00:11:00,approved,2
51,1900-01-01 00:11:00,processing,2
52,1900-01-01 00:11:00,denied,1
53,1900-01-01 00:11:00,reversed,8
54,1900-01-01 00:12:00,approved,14
55,1900-01-01 00:12:00,processing,4
56,1900-01-01 00:12:00,denied,8
57,1900-01-01 00:12:00,refunded,1
58,1900-01-01 00:12:00,backend_reversed,3
59,1900-01-01 00:12:00,reversed,8
60,1900-01-01 00:13:00,approved,33
61,1900-01-01 00:13:00,denied,5
62,1900-01-01 00:14:00,approved,17
63,1900-01-01 00:14:00,denied,4
64,1900-01-01 00:15:00,approved,12
65,1900-01-01 00:15:00,reversed,1
66,1900-01-01 00:15:00,denied,5
67,1900-01-01 00:16:00,refunded,1
68,1900-01-01 00:16:00,denied,2
69,1900-01-01 00:16:00,reversed,3
70,1900-01-01 00:16:00,approved,10
71,1900-01-01 00:17:00,reversed,6
72,1900-01-01 00:17:00,denied,2
73,1900-01-01 00:17:00,approved,13
74,1900-01-01 00:17:00,refunded,1
75,1900-01-01 00:18:00,approved,18
76,1900-01-01 00:18:00,denied,1
77,1900-01-01 00:19:00,approved,16
78,1900-01-01 00:20:00,denied,3
79,1900-01-01 00:20:00,approved,11
80,1900-01-01 00:21:00,approved,17
81,1900-01-01 00:21:00,reversed,1
82,1900-01-01 00:21:00,denied,5
83,1900-01-01 00:22:00,approved,15
84,1900-01-01 00:22:00,denied,7
85,1900-01-01 00:23:00,denied,5
86,1900-01-01 00:23:00,approved,17
87,1900-01-01 00:24:00,refunded,1
88,1900-01-01 00:24:00,approved,15
89,1900-01-01 00:24:00,denied,7
90,1900-01-01 00:25:00,approved,10
91,1900-01-01 00:25:00,denied,3
92,1900-01-01 00:25:00,reversed,1
93,1900-01-01 00:26:00,approved,6
94,1900-01-01 00:27:00,approved,11
95,1900-01-01 00:28:00,approved,10
96,1900-01-01 00:28:00,denied,4
97,1900-01-01 00:29:00,approved,16
98,1900-01-01 00:29:00,denied,2
99,1900-01-01 00:30:00,denied,3
100,1900-01-01 00:30:00,approved,6
101,1900-01-01 00:31:00,approved,10
102,1900-01-01 00:31:00,denied,3
103,1900-01-01 00:32:00,approved,7
104,1900-01-01 00:33:00,denied,2
105,1900-01-01 00:33:00,approved,8
106,1900-01-01 00:34:00,denied,2
107,1900-01-01 00:34:00,approved,11
108,1900-01-01 00:35:00,approved,8
109,1900-01-01 00:36:00,denied,2
110,1900-01-01 00:36:00,approved,7
111,1900-01-01 00:36:00,reversed,1
112,1900-01-01 00:37:00,denied,1
113,1900-01-01 00:37:00,approved,12
114,1900-01-01 00:38:00,approved,3
115,1900-01-01 00:38:00,denied,3
116,1900-01-01 01:38:00,approved,2
117,1900-01-01 01:39:00,approved,5
118,1900-01-01 01:40:00,approved,5
119,1900-01-01 01:40:00,denied,1
120,1900-01-01 01:41:00,reversed,1
121,1900-01-01 01:41:00,approved,1
122,1900-01-01 01:42:00,reversed,1
123,1900-01-01 01:42:00,approved,2
124,1900-01-01 01:43:00,reversed,1
125,1900-01-01 01:43:00,approved,4
126,1900-01-01 01:43:00,refunded,1
127,1900-01-01 01:44:00,reversed,1
128,1900-01-01 01:44:00,approved,3
129,1900-01-01 01:45:00,approved,4
130,1900-01-01 01:46:00,approved,3
131,1900-01-01 01:46:00,reversed,1
132,1900-01-01 01:47:00,approved,5
133,1900-01-01 01:48:00,approved,2
134,1900-01-01 01:49:00,approved,1
135,1900-01-01 01:50:00,approved,3
136,1900-01-01 01:52:00,approved,4
137,1900-01-01 01:53:00,approved,1
138,1900-01-01 01:54:00,denied,1
139,1900-01-01 01:55:00,approved,1
140,1900-01-01 01:56:00,approved,2
141,1900-01-01 01:56:00,denied,1
142,1900-01-01 01:57:00,approved,4
